"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","interview_date","interview_age","sex","handedness","trial","block","accuracy","reward_tally","stim_feedback","stim_set","reward_set"
"302.7300000003379","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar to continue.</p>","32","html-keyboard-response","0","306","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"137.83000000057655","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","1","446","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"350.80999999991036","<p>The better picture in each pair will be more likely to either:</p><p>A) win you some money,</p><p>or</p><p>B) allow you to keep the money you've already earned.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","2","798","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"220.30499999982567","<p>On those trials where you can A) win money, you will want to select the picture most likely to earn a nickel:</p><img style=""height:100px; width:100px"" src=""stim/winwin.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","3","1021","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"203.59999999982392","<p>On those trials where you can B) lose money, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_money.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/loselose.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","4","1228","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"109.16500000075757","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","5","1339","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","",""
"992.6300000006449","<p>First, you will do some practice trials.</p> <p>Press either response button when you are ready to begin.</p>","48","html-keyboard-response","6","2332","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","2835","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"6361.110000000735","<img src='stim/b/wheat_with_farmhouse.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg'>","48","html-keyboard-response","8","9203","0.0-7.0-1.0","practice","ef","1","valid","6","e","avoid:lose","48","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","Trees_with_flowers.jpg","GUID","1322","11/11/2020","12","M","left","-1","1","1","0","keep_money.png","B","money"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/wheat_with_farmhouse.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/b/Trees_with_flowers.jpg'>","null","html-keyboard-response","9","10206","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","11214","0.0-7.0-0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"169.0150000003996","<img src='stim/b/African_landscape.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg'>","49","html-keyboard-response","11","11388","0.0-7.0-1.1","practice","ab","1","valid","6","a","win:stay","49","African_landscape.jpg","closeWater_pines_mountains.jpg","African_landscape.jpg","GUID","1322","11/11/2020","12","M","left","-2","1","1","0.05","winwin.bmp","B","money"
"null","<img style='border: 5px solid #808080;' src='stim/b/African_landscape.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/winwin.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/closeWater_pines_mountains.jpg'>","null","html-keyboard-response","12","12395","0.0-7.0-2.1","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","13","13400","0.0-7.0-0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"133.60000000011496","<img src='stim/b/Trees_with_flowers.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/wheat_with_farmhouse.jpg'>","48","html-keyboard-response","14","13538","0.0-7.0-1.2","practice","ef","1","valid","6","e","avoid:lose","49","Trees_with_flowers.jpg","wheat_with_farmhouse.jpg","Trees_with_flowers.jpg","GUID","1322","11/11/2020","12","M","left","-3","1","0","","loselose.bmp","B","money"
